Name,Age,Nationality,Club
A. Hainault,32,Canada,1. FC Kaiserslautern
D. Čotra,33,Serbia,Śląsk Wrocław
C. Washington,26,Northern Ireland,Sheffield United
F. Nimani,29,France,Neuchâtel Xamax
M. Macey,23,England,Plymouth Argyle
M. Doyle,36,Republic of Ireland,Coventry City
D. Raum,20,Germany,SpVgg Greuther Fürth
V. Retamal,20,Chile,Unión La Calera
A. Cruz,20,Mexico,Lobos BUAP
M. Bruscagin,28,Italy,Venezia FC
C. Morris,22,England,Norwich City
A. Syhre,23,Germany,FC Würzburger Kickers
L. Paz,29,Colombia,Deportes Tolima
L. Dos Santos,25,France,Valenciennes FC
A. Akinfenwa,36,England,Wycombe Wanderers
Jin Jingdao,26,China PR,Shandong Luneng TaiShan FC
F. Bonazzoli,21,Italy,Padova
B. Tetteh,20,Ghana,Sparta Praha
J. Grot,20,Netherlands,VVV-Venlo
G. Notsuda,24,Japan,Vegalta Sendai
D. Jones,21,United States,Philadelphia Union
N. Hansen,23,Denmark,Columbus Crew SC
T. Beltran,30,United States,Real Salt Lake
D. Peitz,33,Germany,Holstein Kiel
D. Starkl,24,Austria,FC Admira Wacker Mödling
D. Erdmann,27,Germany,1. FC Magdeburg
J. Vela,25,Colombia,Boyacá Chicó FC
A. Jakobsen,24,Egypt,IFK Norrköping
J. Segura,21,Colombia,Independiente Medellín
R. Miller,33,Costa Rica,Portland Timbers
U. Cardona,19,Mexico,Club Atlas
J. Karacan,29,Turkey,Millwall
L. Saldaña,28,Colombia,Alianza Petrolera
G. Roberts,34,England,Wigan Athletic
K. Bennett,27,England,Bristol Rovers
C. Tanner,23,England,Motherwell
S. Ernst,23,Germany,SpVgg Greuther Fürth
B. Akintola,22,Nigeria,FK Haugesund
A. Taylor,31,England,Bolton Wanderers
K. Yonekura,30,Japan,Gamba Osaka
Rúben Vinagre,19,Portugal,Wolverhampton Wanderers
M. Drudi,31,Italy,Cittadella
K. Ilsø,31,Denmark,Adelaide United
V. Moren,27,Finland,Waasland-Beveren
Lucas,21,Brazil,SC Braga
J. Norwood,27,England,Tranmere Rovers
P. Frick,26,Sweden,IF Elfsborg
I. Ssewankambo,22,Sweden,Molde FK
T. Skarke,21,Germany,1. FC Heidenheim 1846
Luis Marleiro,26,Brazil,América FC (Minas Gerais)
M. Pulkrab,21,Czech Republic,Sparta Praha
L. Brown,27,England,Portsmouth
R. Gaddis,28,United States,Philadelphia Union
Lee Yeong Jae,23,Korea Republic,Ulsan Hyundai FC
F. Sakala,21,Zambia,KV Oostende
Park Jun Tae,28,Korea Republic,Jeonnam Dragons
N. Saint-Ruf,25,France,AS Nancy Lorraine
A. Lienhart,32,Austria,SCR Altach
M. Sema,29,Sweden,GIF Sundsvall
M. Bennett,21,England,Derby County
N. Hasler,27,Liechtenstein,Chicago Fire
Q. Moll,27,Germany,TSV 1860 München
M. Woods,32,Scotland,Dundee FC
D. Templeton,29,Scotland,Burton Albion
Lim Sang Hyub,29,Korea Republic,Suwon Samsung Bluewings
M. Rivero,28,Argentina,Belgrano de Córdoba
S. Yamamoto,33,Japan,Kashima Antlers
J. Biada,25,Germany,1. FC Kaiserslautern
M. Torres,20,Argentina,Club Atlético Banfield
R. Janicki,25,Poland,Lech Poznań
D. Mahmudov,28,FYR Macedonia,Excelsior
Aitor,31,Spain,Extremadura UD
A. Vukotić,22,Serbia,Waasland-Beveren
M. Marshall,31,Jamaica,Charlton Athletic
N. Mohammed,24,Ghana,BK Häcken
J. Walsh,26,Wales,Milton Keynes Dons
T. Bergmann,21,Germany,1. FC Kaiserslautern
Jony Ñíguez,33,Spain,Elche CF
P. Carlgren,26,Sweden,Randers FC
J. Rossiter,21,England,Rangers FC
S. Sy,22,Senegal,AS Monaco
C. Gonzáles,25,Peru,
R. Nagaki,30,Japan,Kashima Antlers
M. Al Shalhoub,37,Saudi Arabia,Al Hilal
A. Le Tallec,33,France,US Orléans Loiret Football
D. Vidošić,31,Australia,Melbourne City FC
C. Guerra,23,Chile,Unión Española
M. Koné,21,Senegal,SG Dynamo Dresden
Isidoro,31,Spain,FK Bodø/Glimt
O. Halvorsen,30,Norway,Sarpsborg 08 FF
F. Ciampichetti,30,Argentina,CD Antofagasta
Li Ang,24,China PR,Jiangsu Suning FC
P. Kurzweg,24,Germany,FC Würzburger Kickers
Cho Won Hee,35,Korea Republic,Suwon Samsung Bluewings
J. Drolè,20,Ivory Coast,Antalyaspor
C. Itten,21,Switzerland,FC St. Gallen
R. Guitane,19,France,Stade Rennais FC
J. Ojala,29,Finland,BK Häcken
J. Abarca,29,Chile,San Luis de Quillota
M. González,24,Argentina,Club Atlético Tigre
E. Ómarsson,23,Iceland,Excelsior
T. Hasegawa,24,Japan,Kawasaki Frontale
A. Diawusie,20,Germany,FC Ingolstadt 04
I. Khalili,31,Palestine,Hammarby IF
J. Żubrowski,26,Poland,Korona Kielce
M. Štěch,28,Czech Republic,Luton Town
O. Benítez,27,Argentina,CD Palestino
A. Buksa,21,Poland,Pogoń Szczecin
K. Tokura,32,Japan,Hokkaido Consadole Sapporo
C. Madu,24,Nigeria,CD Nacional
T. van de Pavert,26,Netherlands,De Graafschap
W. Keane,25,England,Hull City
S. Branca,26,Italy,Cittadella
N. Antonitsch,26,Austria,FSV Zwickau
T. Umesaki,31,Japan,Shonan Bellmare
A. Nakamura,27,Japan,Kashima Antlers
N. Thompson,27,England,Portsmouth
A. Kolev,25,Bulgaria,Arka Gdynia
G. Bijl,22,Netherlands,FC Emmen
C. Gunter,28,Wales,Reading
A. Marin,28,France,AC Ajaccio
J. Gatt,26,United States,SCR Altach
D. Miloc,27,Argentina,Club Atlético Aldosivi
M. Wostry,25,Austria,LASK Linz
K. Moriya,29,Japan,Kawasaki Frontale
A. Sigurðarson,24,Iceland,IK Start
D. Lowe,25,Jamaica,IK Start
Milton Raphael,27,Brazil,Vitória de Setúbal
B. Blume,26,Denmark,Aarhus GF
Jordi Quintillà,24,Spain,FC St. Gallen
C. Doucouré,18,Mali,Racing Club de Lens
Andrés Prieto,24,Spain,Málaga CF
Isaac Carcelén,25,Spain,CF Rayo Majadahonda
Y. Nakano,25,Japan,Vegalta Sendai
L. Schwechlen,29,France,BB Erzurumspor
Jonatan Lucca,24,Brazil,Os Belenenses
L. Hufnagel,24,Georgia,SpVgg Unterhaching
J. Rothwell,23,England,Blackburn Rovers
J. Rodríguez,22,Colombia,CD Tenerife
A. Claude Maurice,20,France,FC Lorient
R. Taylor,30,England,Plymouth Argyle
M. Mešanović,27,Bosnia Herzegovina,SK Slavia Praha
G. Plet,30,Netherlands,Alanyaspor
B. Dickenson,25,England,Colchester United
T. Takagi,27,Japan,Cerezo Osaka
D. Thopola,28,South Africa,Orlando Pirates
J. Juelsgård,29,Denmark,Aarhus GF
A. Traoré,23,Mali,FC Metz
G. Sandoval,34,Chile,CD Antofagasta
S. Mpontshane,32,South Africa,Orlando Pirates
C. McCann,30,Republic of Ireland,Atlanta United
O. Bozanic,29,Australia,Heart of Midlothian
L. Lezzerini,23,Italy,Venezia FC
M. Yaghoubi,23,Finland,HJK Helsinki
Joni Montiel,19,Spain,Deportivo de La Coruña
D. Gorter,30,Netherlands,ADO Den Haag
T. Mears,35,England,West Bromwich Albion
S. Diakité,29,Mali,Red Star FC
R. Mulumba,25,DR Congo,KAS Eupen
M. Høibråten,23,Norway,Sandefjord Fotball
M. Lackner,27,Austria,SK Sturm Graz
M. Domínguez,18,Mexico,Cruz Azul
O. Käuper,21,Germany,SV Werder Bremen
A. Al Salem,25,Saudi Arabia,Al Fayha
R. Vanegas,25,Colombia,Once Caldas
Pablo Larrea,24,Spain,CD Numancia
L. Craig,31,Scotland,St. Johnstone FC
D. Gomis,25,France,GFC Ajaccio
N. Blackman,28,England,Real Sporting de Gijón
F. Kaufmann,25,Germany,FC Würzburger Kickers
J. Ginnelly,21,England,Walsall
L. Nmecha,19,England,Preston North End
I. Alhassan,21,Nigeria,CD Nacional
L. Crecco,22,Italy,Pescara
D. Charles,30,England,Wycombe Wanderers
Cris Salvador,23,Spain,Real Sporting de Gijón
R. Benson,26,Republic of Ireland,Dundalk
R. Riski,28,Finland,HJK Helsinki
K. Hafez,22,Egypt,Medipol Başakşehir FK
C. Harriott,24,England,Reading
T. Belmonte,20,Argentina,Club Atlético Lanús
B. Eleke,22,Nigeria,FC Luzern
O. Beckles,26,England,Shrewsbury
Park Jin Po,30,Korea Republic,Jeju United FC
T. Naylor,27,England,Portsmouth
G. Kiltie,21,Scotland,Kilmarnock
R. Shirasaki,25,Japan,Shimizu S-Pulse
T. Charles,33,Argentina,Club Deportes Temuco
A. Falatah,34,Saudi Arabia,Al Qadisiyah
I. Tarasovs,29,Latvia,Śląsk Wrocław
P. Stolarski,22,Poland,Legia Warszawa
M. Odjer,21,Ghana,US Salernitana 1919
B. Niňaj,24,Slovakia,Fortuna Sittard
Crysan,21,Brazil,Al Batin
O. Eddahri,27,Sweden,Djurgårdens IF
J. Obika,27,England,Oxford United
T. Zhamaletdinov,21,Russia,PFC CSKA Moscow
K. Mets,25,Estonia,NAC Breda
M. Coulibaly,19,Senegal,Udinese
D. Mayor,27,England,Bury
H. Pell,26,England,Colchester United
S. McQueen,23,England,Middlesbrough
L. Michel,38,Mexico,Club Tijuana
C. Lykogiannis,24,Greece,Cagliari
S. Hertner,27,Germany,SV Darmstadt 98
Arturo Molina,22,Spain,Levante UD
C. Warner,30,United States,Minnesota United FC
V. Prodell,30,Sweden,IF Elfsborg
T. Renault,34,France,US Orléans Loiret Football
A. Muyl,22,United States,New York Red Bulls
E. Apeh,21,Nigeria,RC Celta
Alex Pozo,19,Spain,Granada CF
D. Kikuchi,27,Japan,Urawa Red Diamonds
R. Austin,33,Jamaica,Esbjerg fB
M. Machaj,29,Poland,Jagiellonia Białystok
H. Radetinac,32,Serbia,Djurgårdens IF
M. Mikić,38,Croatia,Shonan Bellmare
M. Guevgeozián,32,Armenia,Gimnasia y Esgrima La Plata
G. Viscarra,25,Bolivia,
I. Lapshov,19,Russia,Lokomotiv Moscow
E. Fejzullahu,30,Kosovo,Kalmar FF
J. Ekstrand,29,Sweden,AIK
G. Rolando,23,Italy,Sampdoria
R. Inniss,23,England,Dundee FC
T. Yamashita,30,Japan,Cerezo Osaka
X. Emmers,18,Belgium,US Cremonese
L. Morgan,21,Scotland,Celtic
W. Kvist,33,Denmark,FC København
B. Jayiya,28,South Africa,Kaizer Chiefs
J. Huyghebaert,29,Belgium,Neuchâtel Xamax
José Ángel,26,Spain,FK Bodø/Glimt
Y. Hurtado,21,Colombia,Alianza Petrolera
J. González,26,Mexico,Lobos BUAP
R. Söder,27,Sweden,IFK Göteborg
Choi Bo Kyung,30,Korea Republic,Jeonbuk Hyundai Motors
A. Hadouir,35,Netherlands,Excelsior
He Chao,23,China PR,Changchun Yatai FC
M. Booysen,29,South Africa,Kaizer Chiefs
C. Main,26,England,Motherwell
J. Grimmer,24,Scotland,Coventry City
A. Kann,27,United States,Atlanta United
M. Lepe,27,Chile,CD Antofagasta
J. Bandowski,24,Germany,VfL Bochum 1848
Nelson Ferreira,36,Portugal,FC Thun
A. Matuszczyk,29,Poland,Zagłębie Lubin
D. Stahl,29,Germany,SpVgg Unterhaching
Yun Il Lok,26,Korea Republic,Yokohama F. Marinos
R. McLaughlin,23,Northern Ireland,Blackpool
P. Joosten,22,Netherlands,VVV-Venlo
G. Magnani,22,Italy,Sassuolo
F. Bong,30,Cameroon,Paris FC
M. Restrepo,37,Colombia,Once Caldas
T. Akindele,26,Canada,FC Dallas
R. van der Meer,23,Netherlands,Excelsior
R. Gartler,32,Austria,SKN St. Pölten
C. Lobos,21,Chile,Universidad Católica
R. Cierzniak,35,Poland,Legia Warszawa
M. Abdellaoue,29,Norway,Strømsgodset IF
L. Novak,29,England,Scunthorpe United
Jung Seung Yong,27,Korea Republic,Gangwon FC
L. Gugganig,23,Austria,SpVgg Greuther Fürth
A. Donnarumma,27,Italy,Milan
P. Steinhart,25,Germany,TSV 1860 München
Olavide,22,Spain,CA Osasuna
C. Jakobsen,25,Denmark,SønderjyskE
Berrocal,18,Spain,Sevilla FC
R. Amaral,21,Uruguay,Racing Club
Abdón,25,Spain,RCD Mallorca
A. Al Mayoof,31,Saudi Arabia,Al Hilal
A. Paleari,25,Italy,Cittadella
José Lara,18,Spain,Sevilla FC
A. Juel Andersen,27,Denmark,Vendsyssel FF
G. Vadalá,21,Argentina,CD Universidad de Concepción
Borja Sánchez,22,Spain,Real Oviedo
A. Ogogo,28,England,Coventry City
D. Pratley,33,England,Charlton Athletic
K. Takayama,29,Japan,Shonan Bellmare
S. Bakış,24,Turkey,FC Admira Wacker Mödling
Dani Martín,19,Spain,Real Sporting de Gijón
Zhang Wenzhao,31,China PR,Guangzhou Evergrande Taobao FC
C. Goodwin,26,Australia,Adelaide United
J. Becerra,24,Colombia,Atlético Huila
C. Bravo,24,Chile,San Luis de Quillota
V. Ramis,23,Argentina,Godoy Cruz
F. Torres,35,Mexico,Lobos BUAP
M. Mihara,29,Japan,Vissel Kobe
T. Flanagan,26,Northern Ireland,Sunderland
L. Thompson,23,Wales,Norwich City
A. Schlager,22,Austria,LASK Linz
J. Kaprof,23,Argentina,Atlético Tucumán
L. Mulholland,29,England,Real Salt Lake
S. Aasmundsen,28,Norway,Kristiansund BK
C. Ejuke,20,Nigeria,Vålerenga Fotball
F. Apaolaza,21,Argentina,Estudiantes de La Plata
E. Butin,30,France,Stade Brestois 29
J. Fitzwater,20,England,Walsall
M. Cholewiak,28,Poland,Śląsk Wrocław
C. Schösswendter,29,Austria,1. FC Union Berlin
R. Klaasen,24,Netherlands,De Graafschap
P. Pervan,30,Austria,VfL Wolfsburg
M. de Jong,31,Canada,Vancouver Whitecaps FC
Corpas,26,Spain,UD Almería
A. Lukse,30,Austria,SCR Altach
A. Wittwer,27,Switzerland,FC St. Gallen
E. Ebanks-Landell,25,England,Wolverhampton Wanderers
S. Gündüz,24,Germany,SV Darmstadt 98
A. Uryga,24,Poland,Wisła Płock
J. Absalonsen,32,Denmark,SønderjyskE
J. Willis,29,United States,Houston Dynamo
E. Brophy,22,Scotland,Kilmarnock
T. Hübers,21,Germany,Hannover 96
Q. Laçi,22,Albania,AC Ajaccio
T. Mohamad,28,Syria,Ohod Club
Dyjan Azevedo,27,Brazil,Paris FC
L. Palmer,26,Scotland,Sheffield Wednesday
F. Evangelista,26,Argentina,Estudiantes de La Plata
Óscar Pinchi,22,Spain,Atlético Madrid
Z. Laaroubi,33,Morocco,Ohod Club
M. Palacios,25,Colombia,Alianza Petrolera
Borja,21,Spain,CD Lugo
F. Vanzo,24,Belgium,Waasland-Beveren
A. Zapata,33,Colombia,América de Cali
S. Szmodics,22,England,Colchester United
A. Trusty,19,United States,Philadelphia Union
Ryu Won Woo,27,Korea Republic,Pohang Steelers
F. Dick,33,Germany,1. FC Kaiserslautern
D. Rose,24,England,Mansfield Town
M. Oesterhelweg,27,Germany,VfL Sportfreunde Lotte
D. Mignanelli,25,Italy,Ascoli
Lee Jong Ho,26,Korea Republic,Ulsan Hyundai FC
Z. Clark,26,Scotland,St. Johnstone FC
S. Stevens,26,Netherlands,Excelsior
Sergio Gil,22,Spain,CD Lugo
U. Zeybek,23,Turkey,Fenerbahçe SK
A. Acosta,21,Mexico,U.N.A.M.
K. Oi,34,Japan,Júbilo Iwata
Y. Sari,19,Turkey,Clermont Foot 63
M. Ruiz,17,Mexico,Querétaro
L. Holmes,31,England,Exeter City
D. Powers,27,United States,Orlando City SC
S. Henderson,30,Republic of Ireland,Nottingham Forest
S. Scougall,25,Scotland,St. Johnstone FC
Cho Yong Hyung,34,Korea Republic,Jeju United FC
Cho Young Wook,19,Korea Republic,FC Seoul
H. Koffi,21,Burkina Faso,LOSC Lille
S. Sandberg,24,Sweden,Hammarby IF
T. Gabuza,30,South Africa,Orlando Pirates
P. Muñoz,32,Chile,CD O'Higgins
C. MacGillivray,25,England,Portsmouth
C. Arcus,22,Haiti,AJ Auxerre
A. Dercho,31,Germany,VfL Osnabrück
H. Hauger,32,Norway,Strømsgodset IF
Manu,34,Switzerland,Elche CF
J. Leko,19,England,West Bromwich Albion
J. Aguirre,26,Colombia,Atlético Bucaramanga
Kim Chang Soo,32,Korea Republic,Ulsan Hyundai FC
L. Ćirković,25,Serbia,FC Luzern
Isma Cerro,22,Spain,Real Sporting de Gijón
E. Castillo,23,Ecuador,Club Tijuana
P. Downing,26,England,Blackburn Rovers
R. Vollath,28,Germany,KFC Uerdingen 05
A. Munksgaard,20,Denmark,FC Midtjylland
M. Ogbu,27,Nigeria,IK Sirius
Jang Ho Ik,24,Korea Republic,Suwon Samsung Bluewings
K. Bartolec,23,Croatia,FC Nordsjælland
G. Malcore,24,Italy,Cittadella
V. Gvilia,24,Georgia,FC Luzern
D. Burnić,20,Germany,Borussia Dortmund
A. Öztürk,25,Turkey,Sunderland
K. Taketomi,27,Japan,Urawa Red Diamonds
M. Mancosu,29,Italy,Lecce
D. Jaković,32,Canada,Los Angeles FC
M. Saeid,27,Sweden,IK Sirius
U. Taffertshofer,26,Germany,VfL Osnabrück
A. Medina,33,Argentina,Club Atlético Aldosivi
M. Papadopulos,33,Czech Republic,Piast Gliwice
N. Zaniolo,18,Italy,Roma
F. Montero,29,Argentina,Argentinos Juniors
J. Vuković,26,Croatia,Clube Sport Marítimo
E. Barli,26,Norway,Ranheim Fotball
G. Carrasco,21,Argentina,Club Atlético Lanús
A. Balijon,35,France,Le Havre AC
I. Saavedra,19,Chile,Universidad Católica
Z. Janjić,32,Bosnia Herzegovina,Korona Kielce
J. Skjelvik,26,Norway,LA Galaxy
K. Kamiński,27,Poland,Júbilo Iwata
M. Endres,27,Germany,SpVgg Unterhaching
B. Delacourt,32,France,KSV Cercle Brugge
C. Rismark,26,Norway,SK Brann
A. Ligi,28,Italy,Carpi
D. Lachman,28,Curacao,PEC Zwolle
M. Riascos,27,Colombia,Al Batin
L. Vignali,22,Italy,Spezia
S. Skålevik,25,Norway,SK Brann
M. Djetei,23,Cameroon,Gimnàstic de Tarragona
A. Fuchs,21,Germany,1. FC Nürnberg
M. Könnecke,29,Germany,FSV Zwickau
E. Yao Guy,22,Ivory Coast,FC Lugano
G. Burke,24,Republic of Ireland,Preston North End
C. Hemlein,27,Germany,1. FC Kaiserslautern
D. Anderson,23,Netherlands,US Salernitana 1919
M. Døhr Thychosen,21,Denmark,FC Midtjylland
A. Nordvik,31,Norway,Odds BK
D. Thomalla,25,Germany,1. FC Heidenheim 1846
P. Parzyszek,24,Poland,Piast Gliwice
M. Fornasier,24,Italy,Pescara
Michel Douglas,26,Brazil,CD Aves
Álex Cobo,22,Spain,Deportivo de La Coruña
M. Çelik,28,Sweden,BK Häcken
L. Woudenberg,24,Netherlands,SC Heerenveen
T. Tekie,21,Sweden,Östersunds FK
D. Vega,25,Costa Rica,SK Brann
N. Rusyn,19,Ukraine,Dynamo Kyiv
Víctor,21,Spain,Deportivo de La Coruña
A. Deja,25,Poland,Arka Gdynia
F. Cornejo,22,Chile,Audax Italiano
A. Balboa,24,Uruguay,Belgrano de Córdoba
D. Edwards,32,Wales,Reading
R. Vargas,23,Bolivia,
F. Rherras,25,Morocco,AS Béziers
Gu Sung Yun,24,Korea Republic,Hokkaido Consadole Sapporo
C. Mavrias,24,Greece,Hibernian
E. Martinez,27,Uruguay,Colorado Rapids
Lee Chang Geun,24,Korea Republic,Jeju United FC
M. Mohsen,29,Egypt,
A. Gómez,25,Peru,Minnesota United FC
N. Ramírez,21,Chile,Club Deportes Temuco
C. Gebauer,24,Austria,SCR Altach
C. Knett,27,Austria,FC Wacker Innsbruck
K. Naismith,26,Scotland,Wigan Athletic
Rober Correa,25,Spain,Cádiz CF
C. Escobar,28,Chile,San Luis de Quillota
J. Smeets,23,Netherlands,Fortuna Sittard
Borja Galán,25,Spain,AD Alcorcón
J. Intriago,22,Ecuador,
D. Sjölund,35,Finland,IFK Norrköping
E. Bonifacio,24,Argentina,Gimnasia y Esgrima La Plata
Lee Ho Seung,28,Korea Republic,Jeonnam Dragons
G. Hein,21,France,FC Metz
H. Abe,19,Japan,Kashima Antlers
A. De Bruyn,24,Belgium,Sint-Truidense VV
J. Akinde,28,England,Lincoln City
D. McGregor,32,Scotland,Hibernian
G. Villarruel,25,Argentina,San Martín de San Juan
Pastrana,21,Spain,RC Celta
Teixeira José,28,Brazil,Pohang Steelers
A. Fernández,32,Uruguay,San Martin de Tucumán
J. Devecchi,22,Argentina,San Lorenzo de Almagro
C. Früchtl,18,Germany,FC Bayern München
I. Rondanini,23,Italy,Brescia
W. Creavalle,27,Guyana,Philadelphia Union
A. Considine,31,Scotland,Aberdeen
J. Vitale,22,Argentina,San Martin de Tucumán
J. Ryerson,20,Norway,1. FC Union Berlin
J. Ríos,26,Colombia,Alianza Petrolera
K. Dabila,21,Ivory Coast,LOSC Lille
Avilés,20,Spain,CD Leganés
No Dong Geon,26,Korea Republic,Suwon Samsung Bluewings
Benjamin Muscato,26,Brazil,Chapecoense
N. Topor-Stanley,33,Australia,Newcastle Jets
P. Clement,22,Netherlands,Reading
H. Toffolo,22,England,Lincoln City
C. Colkett,21,England,Shrewsbury
B. Çamoğlu,21,Turkey,Karlsruher SC
Yang Dong Hyen,32,Korea Republic,Cerezo Osaka
S. Tetteh,21,Ghana,LASK Linz
A. Dobos,18,Hungary,Fortuna Sittard
J. Mason,27,Republic of Ireland,Portsmouth
Lee Woong Hee,29,Korea Republic,FC Seoul
C. Lavery,25,Northern Ireland,Bury
M. Savastano,21,Netherlands,AZ Alkmaar
N. Granatowski,27,Germany,SV Meppen
M. Stiefler,29,Germany,Karlsruher SC
L. Pavez,22,Chile,Unión Española
S. Román,23,Colombia,Once Caldas
M. Bakker,18,Netherlands,Ajax
A. Sambi Lokonga,18,Belgium,RSC Anderlecht
M. Pérez Acuña,24,Argentina,Club Atlético Tigre
K. Dempsey,22,England,Fleetwood Town
Lee You Hyeon,21,Korea Republic,Jeonnam Dragons
Y. Quintana,22,Uruguay,San Jose Earthquakes
B. Knighton,33,United States,New England Revolution
R. Bennett,26,England,Peterborough United
A. Lonergan,34,England,Middlesbrough
B. Sverrisson,28,Iceland,Aarhus GF
D. Forde,38,Republic of Ireland,Cambridge United
H. Gong,19,Nigeria,Vitesse
T. Kupisz,28,Poland,Ascoli
M. Abusabaan,28,Saudi Arabia,Al Faisaly
C. Amaya,27,Colombia,Once Caldas
Wu Yake,27,China PR,Changchun Yatai FC
M. Schulz,23,Germany,FC Luzern
O. Rojas,36,Mexico,Lobos BUAP
P. Jaroszyński,23,Poland,Chievo Verona
L. Reed,20,England,Peterborough United
T. Elrich,31,Australia,Western Sydney Wanderers
M. Malaeka,32,Saudi Arabia,Al Faisaly
C. Rentería,22,Colombia,Deportes Tolima
S. Cox,31,Republic of Ireland,Southend United
A. Mannus,36,Northern Ireland,Shamrock Rovers
P. Jaeckel,19,Germany,SpVgg Greuther Fürth
J. Bijol,19,Slovenia,PFC CSKA Moscow
Z. Kozulj,24,Bosnia Herzegovina,Pogoń Szczecin
Song Jin Hyung,30,Korea Republic,FC Seoul
C. Duvall,26,United States,Montreal Impact
R. Williams,21,England,Wycombe Wanderers
M. Naamani,27,Algeria,Al Fateh
M. Gollner,27,Austria,Wolfsberger AC
D. Pedersen,25,Denmark,Lillestrøm SK
O. Berber,26,Turkey,Kayserispor
Steven Vitória,31,Canada,Lechia Gdańsk
B. Stokke,27,Norway,Randers FC
M. Ospitalieri,26,Belgium,Fortuna Sittard
J. Haugaard,26,Denmark,Stoke City
S. Mauk,22,Australia,Brisbane Roar
Óscar Whalley,24,Spain,Aarhus GF
S. O'Donnell,32,Republic of Ireland,Dundalk
Marquinhos Cipriano,19,Brazil,Shakhtar Donetsk
I. Vassell,24,England,Birmingham City
T. Lehne Olsen,27,Norway,Lillestrøm SK
S. Pontisso,21,Italy,Udinese
Henrique Jardinel,30,Brazil,América FC (Minas Gerais)
C. Almeida,28,Uruguay,Defensa y Justicia
R. Yalçın,24,Germany,Çaykur Rizespor
S. Jhingan,24,India,
Jeong Hyun Cheol,25,Korea Republic,FC Seoul
M. McKenzie,19,United States,Philadelphia Union
J. Deumeland,30,Germany,IK Start
N. Lang,19,Netherlands,Ajax
V. Vries,27,Namibia,Kaizer Chiefs
L. Verstraete,19,Belgium,Waasland-Beveren
J. Jigauri,25,Georgia,Grenoble Foot 38
D. Moxey,32,England,Exeter City
C. Wernitznig,28,Austria,Wolfsberger AC
C. Valeri,33,Australia,Melbourne Victory
M. Mosquera,25,Colombia,Patriotas Boyacá FC
R. Kouamé,21,Mali,Paris FC
D. Chima Chukwu,27,Nigeria,Molde FK
E. Harrison,24,Wales,Ipswich Town
T. Wendel,29,Germany,VfL Sportfreunde Lotte
O. Schnitzler,22,Germany,SC Preußen Münster
A. Coly,25,Senegal,Kristiansund BK
M. Vera,22,Argentina,CD O'Higgins
R. De Vita,30,Italy,Livingston FC
F. Lohkemper,23,Germany,1. FC Magdeburg
M. Ajani,24,Germany,Hallescher FC
M. Lund Nielsen,30,Denmark,Sarpsborg 08 FF
T. Mpati,26,Belgium,Sporting Lokeren
Edu Espiau,23,Spain,UD Las Palmas
H. Acosta,26,Mexico,Deportivo Toluca
T. Bu Haymid,30,Saudi Arabia,Al Fayha
D. Mikanović,24,Croatia,Aarhus GF
R. Massimo,17,Germany,DSC Arminia Bielefeld
A. Smárason,29,Iceland,Lillestrøm SK
S. Brandy,33,Germany,DSC Arminia Bielefeld
B. Adjei-Boateng,24,Ghana,Colorado Rapids
F. Milo,26,Argentina,San Martín de San Juan
K. Cissé,34,Mali,Central Coast Mariners
D. Castillo,27,Chile,CD Universidad de Concepción
A. Krešić,22,Croatia,US Cremonese
Escriche,20,Spain,CD Lugo
E. Ataseven,25,Turkey,Akhisar Belediyespor
M. Kopczyński,26,Poland,Wellington Phoenix
Mao Jianqing,31,China PR,Shanghai Greenland Shenhua FC
J. Clarke,26,England,Scunthorpe United
Pak Kwang Ryong,25,Korea DPR,SKN St. Pölten
J. Husband,24,England,Fleetwood Town
A. Al Zori,30,Saudi Arabia,Al Wehda
Airam,30,Spain,Cracovia
M. Schulze Niehues,29,Germany,SC Preußen Münster
P. De la Vega,17,Argentina,Club Atlético Lanús
P. Sweeney,23,Republic of Ireland,Exeter City
P. Tuszyński,28,Poland,Zagłębie Lubin
J. Mosquera,27,Colombia,América de Cali
M. Coppolaro,21,Italy,Venezia FC
R. Mmaee,21,Belgium,Aarhus GF
S. Inagaki,26,Japan,Sanfrecce Hiroshima
E. Mwepu,20,Zambia,FC Red Bull Salzburg
F. Viteritti,25,Germany,FC Energie Cottbus
A. Dyer,28,Montserrat,IF Elfsborg
M. Mak,26,Poland,Lechia Gdańsk
Bae Il Hwan,29,Korea Republic,Jeju United FC
H. Adelakun,22,England,Bristol City
M. Devlin,24,Scotland,Aberdeen
